,Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Recommendation
45,38,70,48,Loamy,Wheat,8,8,28,"14-35-14 (For Wheat in Loamy soil, use the following quantity of 14-35-14:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
46,26,52,32,Black,Oil seeds,12,0,8,"20-20 (For Oil seeds in Black soil, use the following quantity of 20-20:
Nitrogen: 0.02 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
47,29,58,43,Clayey,Paddy,24,0,18,"28-28 (For Paddy in Clayey soil, use the following quantity of 28-28:
Nitrogen: 0.03 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
48,30,60,29,Red,Ground Nuts,41,0,0,"Urea (For Ground Nuts in Red soil, use the following quantity of Urea:
Nitrogen: 0.02 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
49,33,64,51,Sandy,Maize,5,9,29,"14-35-14 (For Maize in Sandy soil, use the following quantity of 14-35-14:
Nitrogen: 0.07 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.05 kg/ha)"
50,34,65,31,Red,Tobacco,23,0,21,"28-28 (For Tobacco in Red soil, use the following quantity of 28-28:
Nitrogen: 0.01 kg/ha
Potassium: 0.00 kg/ha
Phosphorous: 0.03 kg/ha)"
51,36,68,33,Black,Oil seeds,13,0,14,"20-20 (For Oil seeds in Black soil, use the following quantity of 20-20:
Nitrogen: 0.02 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
52,28,54,38,Clayey,Pulses,40,0,0,"Urea (For Pulses in Clayey soil, use the following quantity of Urea:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
53,30,60,47,Sandy,Barley,12,0,42,"DAP (For Barley in Sandy soil, use the following quantity of DAP:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.01 kg/ha)"
54,31,62,63,Red,Cotton,11,12,15,"17-17-17 (For Cotton in Red soil, use the following quantity of 17-17-17:
Nitrogen: 0.04 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.05 kg/ha)"
55,27,53,43,Black,Millets,23,0,24,"28-28 (For Millets in Black soil, use the following quantity of 28-28:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.01 kg/ha)"
56,34,65,54,Loamy,Wheat,38,0,0,"Urea (For Wheat in Loamy soil, use the following quantity of Urea:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
57,29,58,37,Sandy,Millets,8,0,15,"20-20 (For Millets in Sandy soil, use the following quantity of 20-20:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.01 kg/ha)"
58,25,50,56,Loamy,Sugarcane,11,13,15,"17-17-17 (For Sugarcane in Loamy soil, use the following quantity of 17-17-17:
Nitrogen: 0.03 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.15 kg/ha)"
59,32,62,34,Red,Ground Nuts,15,0,37,"DAP (For Ground Nuts in Red soil, use the following quantity of DAP:
Nitrogen: 0.02 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
60,28,54,41,Clayey,Paddy,36,0,0,"Urea (For Paddy in Clayey soil, use the following quantity of Urea:
Nitrogen: 0.03 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
61,30,60,49,Loamy,Wheat,13,0,9,"20-20 (For Wheat in Loamy soil, use the following quantity of 20-20:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
62,34,65,64,Black,Cotton,24,0,20,"28-28 (For Cotton in Black soil, use the following quantity of 28-28:
Nitrogen: 0.04 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.05 kg/ha)"
63,28,54,47,Sandy,Barley,5,18,15,"10-26-26 (For Barley in Sandy soil, use the following quantity of 10-26-26:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.01 kg/ha)"
64,27,53,35,Black,Oil seeds,37,0,0,"Urea (For Oil seeds in Black soil, use the following quantity of Urea:
Nitrogen: 0.02 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
65,36,68,62,Red,Cotton,15,0,40,"DAP (For Cotton in Red soil, use the following quantity of DAP:
Nitrogen: 0.04 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.05 kg/ha)"
66,34,65,57,Black,Sugarcane,9,0,13,"20-20 (For Sugarcane in Black soil, use the following quantity of 20-20:
Nitrogen: 0.03 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.15 kg/ha)"
67,29,58,55,Loamy,Sugarcane,8,8,33,"14-35-14 (For Sugarcane in Loamy soil, use the following quantity of 14-35-14:
Nitrogen: 0.03 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.15 kg/ha)"
68,25,50,40,Clayey,Pulses,6,19,16,"10-26-26 (For Pulses in Clayey soil, use the following quantity of 10-26-26:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
69,30,60,38,Sandy,Millets,10,0,14,"20-20 (For Millets in Sandy soil, use the following quantity of 20-20:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.01 kg/ha)"
70,26,52,39,Clayey,Pulses,21,0,23,"28-28 (For Pulses in Clayey soil, use the following quantity of 28-28:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
71,31,62,32,Red,Tobacco,39,0,0,"Urea (For Tobacco in Red soil, use the following quantity of Urea:
Nitrogen: 0.01 kg/ha
Potassium: 0.00 kg/ha
Phosphorous: 0.03 kg/ha)"
72,34,65,48,Loamy,Wheat,23,0,19,"28-28 (For Wheat in Loamy soil, use the following quantity of 28-28:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
73,27,53,34,Black,Oil seeds,42,0,0,"Urea (For Oil seeds in Black soil, use the following quantity of Urea:
Nitrogen: 0.02 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
74,33,64,31,Red,Ground Nuts,13,0,39,"DAP (For Ground Nuts in Red soil, use the following quantity of DAP:
Nitrogen: 0.02 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
75,29,58,42,Clayey,Paddy,9,10,22,"14-35-14 (For Paddy in Clayey soil, use the following quantity of 14-35-14:
Nitrogen: 0.03 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
76,30,60,47,Sandy,Maize,22,0,21,"28-28 (For Maize in Sandy soil, use the following quantity of 28-28:
Nitrogen: 0.07 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.05 kg/ha)"
77,27,53,59,Loamy,Sugarcane,10,0,15,"20-20 (For Sugarcane in Loamy soil, use the following quantity of 20-20:
Nitrogen: 0.03 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.15 kg/ha)"
78,26,52,36,Clayey,Pulses,7,16,20,"10-26-26 (For Pulses in Clayey soil, use the following quantity of 10-26-26:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
79,34,65,63,Red,Cotton,14,0,38,"DAP (For Cotton in Red soil, use the following quantity of DAP:
Nitrogen: 0.04 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.05 kg/ha)"
80,28,54,43,Clayey,Paddy,10,8,29,"14-35-14 (For Paddy in Clayey soil, use the following quantity of 14-35-14:
Nitrogen: 0.03 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
81,30,60,40,Sandy,Millets,41,0,0,"Urea (For Millets in Sandy soil, use the following quantity of Urea:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.01 kg/ha)"
82,29,58,65,Black,Cotton,14,0,35,"DAP (For Cotton in Black soil, use the following quantity of DAP:
Nitrogen: 0.04 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.05 kg/ha)"
83,26,52,59,Loamy,Sugarcane,11,0,9,"20-20 (For Sugarcane in Loamy soil, use the following quantity of 20-20:
Nitrogen: 0.03 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.15 kg/ha)"
84,31,62,44,Sandy,Barley,21,0,28,"28-28 (For Barley in Sandy soil, use the following quantity of 28-28:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.01 kg/ha)"
85,35,67,28,Clayey,Pulses,8,7,31,"14-35-14 (For Pulses in Clayey soil, use the following quantity of 14-35-14:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
86,29,58,30,Red,Tobacco,13,17,16,"10-26-26 (For Tobacco in Red soil, use the following quantity of 10-26-26:
Nitrogen: 0.01 kg/ha
Potassium: 0.00 kg/ha
Phosphorous: 0.03 kg/ha)"
87,27,53,30,Black,Millets,35,0,0,"Urea (For Millets in Black soil, use the following quantity of Urea:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.01 kg/ha)"
88,36,68,50,Loamy,Wheat,12,18,19,"10-26-26 (For Wheat in Loamy soil, use the following quantity of 10-26-26:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
89,29,58,61,Loamy,Cotton,11,0,38,"DAP (For Cotton in Loamy soil, use the following quantity of DAP:
Nitrogen: 0.04 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.05 kg/ha)"
90,30,60,26,Black,Oil seeds,8,9,30,"14-35-14 (For Oil seeds in Black soil, use the following quantity of 14-35-14:
Nitrogen: 0.02 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
91,34,65,45,Clayey,Paddy,6,19,21,"10-26-26 (For Paddy in Clayey soil, use the following quantity of 10-26-26:
Nitrogen: 0.03 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
92,36,68,41,Red,Ground Nuts,41,0,0,"Urea (For Ground Nuts in Red soil, use the following quantity of Urea:
Nitrogen: 0.02 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
93,28,54,25,Sandy,Maize,9,10,30,"14-35-14 (For Maize in Sandy soil, use the following quantity of 14-35-14:
Nitrogen: 0.07 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.05 kg/ha)"
94,25,50,32,Clayey,Pulses,24,0,19,"28-28 (For Pulses in Clayey soil, use the following quantity of 28-28:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
95,30,60,27,Red,Tobacco,4,17,17,"10-26-26 (For Tobacco in Red soil, use the following quantity of 10-26-26:
Nitrogen: 0.01 kg/ha
Potassium: 0.00 kg/ha
Phosphorous: 0.03 kg/ha)"
96,38,72,51,Loamy,Wheat,39,0,0,"Urea (For Wheat in Loamy soil, use the following quantity of Urea:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
97,36,60,43,Sandy,Millets,15,0,41,"DAP (For Millets in Sandy soil, use the following quantity of DAP:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.01 kg/ha)"
98,29,58,57,Black,Sugarcane,12,0,10,"20-20(For Sugarcane in Black soil, use the following quantity of 20-20:
Nitrogen: 0.03 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.15 kg/ha)"
